Data Extracted from EPA's FLIGHT Tool (http://ghgdata.epa.gov/ghgp),,,,,,,,,,,,
The data was reported to EPA by facilities as of 08/16/2024,,,,,,,,,,,,
All emissions data is presented in units of metric tons of carbon dioxide equivalent using GWP's from IPCC's AR4,,,,,,,,,,,,
Search Parameters: year=2023; GHGs=ALL; data type=All Direct Emitters; ,,,,,,,,,,,,
,,,,,,,,,,,,
REPORTING YEAR,FACILITY NAME,GHGRP ID,REPORTED ADDRESS,LATITUDE,LONGITUDE,CITY NAME,COUNTY NAME,STATE,ZIP CODE,PARENT COMPANIES,GHG QUANTITY (METRIC TONS CO2e),SUBPARTS
2023,ARCHER DANIELS MIDLAND COMPANY,1005935,7800 THAYER STREET,40.86667,-96.619116,LINCOLN,LANCASTER COUNTY,NE,68507,ARCHER DANIELS MIDLAND CO (100%),99125,C
2023,ARCHER DANIELS MIDLAND PROCESSING,1005940,1388 HIGHWAY 97,48.062103,-100.924722,VELVA,MCHENRY COUNTY,ND,58790,ARCHER DANIELS MIDLAND CO (100%),46348,C
2023,ARKALON ETHANOL LLC,1006203,8664 RD P,37.107705,-100.796294,LIBERAL,SEWARD COUNTY,KS,67901,CONESTOGA ENERGY HOLDINGS LLC (100%),104536,"C,PP"
2023,ARLANXEO Orange Site,1013817,4647 FM 1006,30.049622,-93.772226,Orange,ORANGE COUNTY,TX,77630,ARLANXEO USA HOLDINGS CORP (100%),185625,C
2023,ARMSTRONG WORLD IND MARIETTA CEILING PLT,1003208,1507 RIVER ROAD,40.0586,-76.58845,MARIETTA,LANCASTER COUNTY,PA,17547,ARMSTRONG WORLD INDUSTRIES INC (100%),69218,C
2023,ARMSTRONG WORLD INDUSTRIES INC.,1002968,300 SOUTH MYRICK ST,30.408671,-87.250165,PENSACOLA,ESCAMBIA COUNTY,FL,32505,ARMSTRONG WORLD INDUSTRIES INC (100%),24275,C
2023,ASCEND PERFORMANCE MATERIALS CHOCOLATE BAYOU FACILITY,1002190,,29.2567,-95.2144,ALVIN,BRAZORIA COUNTY,TX,77512,ASCEND PERFORMANCE MATERIALS HOLDINGS INC (100%),553628,"C,X"
2023,ASCEND PERFORMANCE MATERIALS OPERATIONS LLC,1003975,1515 HWY 246 S,34.2306,-82.05776,GREENWOOD,GREENWOOD COUNTY,SC,29646,SK CAPTITAL PARTNER II LP (100%),50087,C
2023,ATI LADISH LLC,1005442,5481 S PACKARD AVE,42.947167,-87.8615,CUDAHY,MILWAUKEE COUNTY,WI,53110,ALLEGHENY TECHNOLOGIES INC (100%),127480,C
2023,Abbott Laboratories,1000378,1250 West Maricopa Highway,32.896,-111.7848,Casa Grande,PINAL COUNTY,AZ,85193,ABBOTT LABORATORIES (100%),23170,C
2023,Abbott Nutrition,1012993,585 Cleveland Ave,39.97553,-82.98999,Columbus,FRANKLIN COUNTY,OH,43215,ABBOTT LABORATORIES (100%),27099,C
2023,Abbott Nutrition - A Division of Abbott Laboratories,1003205,1518 MAIN STREET,37.13375,-79.26404,ALTAVISTA,CAMPBELL COUNTY,VA,24517,ABBOTT LABORATORIES (100%),30662,C
